,Unnamed: 0,mr,mr_new,pseudo_mr,da,num_triples,wikiName
158625,158625,request_attribute(color[None]),animals color None. ,None,request_attribute,1,None
158626,158626,request_attribute(diet[None]),animals diet None. ,None,request_attribute,1,None
158627,158627,request_attribute(habitat[None]),animals habitat None. ,None,request_attribute,1,None
158628,158628,request_attribute(estimated_population_size[None]),animals estimated population size None. ,None,request_attribute,1,None
158629,158629,request_attribute(main_prey[None]),animals main prey None. ,None,request_attribute,1,None
158630,158630,request_attribute(skin_type[None]),animals skin type None. ,None,request_attribute,1,None
158631,158631,request_attribute(slogan[None]),animals slogan None. ,None,request_attribute,1,None
158632,158632,request_attribute(group_behavior[None]),animals group behavior None. ,None,request_attribute,1,None
158633,158633,request_attribute(gestation_period[None]),animals gestation period None. ,None,request_attribute,1,None
158634,158634,request_attribute(other_names[None]),animals other names None. ,None,request_attribute,1,None
